lat_departure,lon_departure,lat_arrival,lon_arrival
-10.0051,-42.4936,-10.0051,-42.4936
-11.8117,-39.9009,-11.8117,-39.9009
-14.9444,-41.7168,-14.9444,-41.7168
-11.8541,-40.4714,-11.73,-40.5587
-11.73,-40.5587,-11.73,-40.5587
-13.2618,-40.3695,-13.2618,-40.3695
-14.6654,-40.4718,-14.6654,-40.4718
-14.5234,-40.3634,-14.6654,-40.4718
-10.7405,-40.1437,-10.8653,-40.1311
-10.8653,-40.1311,-10.8653,-40.1311
-15.5943,-39.8638,-15.5943,-39.8638
-10.9736,-39.6293,-10.9736,-39.6293
-10.7505,-39.2137,-10.7505,-39.2137
-11.3797,-40.0089,-11.4031,-40.12
-11.4031,-40.12,-11.4031,-40.12
-12.4053,-39.5007,-12.4053,-39.5007
-9.61944,-42.0848,-9.61944,-42.0848
-11.56,-39.2808,-11.4832,-39.4234
-11.4832,-39.4234,-11.4832,-39.4234
-11.2508,-39.375,-11.4832,-39.4234
-11.4062,-39.457,-11.4832,-39.4234
-11.7508,-44.9143,-11.7508,-44.9143
-15.4508,-40.7441,-15.4508,-40.7441
-13.6369,-41.8432,-13.5852,-41.8048
-13.5852,-41.8048,-13.5852,-41.8048
-13.1185,-42.2902,-13.1185,-42.2902
-8.85021,-38.78,-8.85021,-38.78
-12.2816,-40.4931,-12.2816,-40.4931
-12.873,-38.7562,-12.873,-38.7562
-12.8978,-38.321,-12.9718,-38.5011
-12.9718,-38.5011,-12.9718,-38.5011
-12.7866,-38.4029,-12.9718,-38.5011
-9.73227,-38.1209,-9.73227,-38.1209
-16.4435,-39.0643,-16.2825,-39.0295
-16.2825,-39.0295,-16.2825,-39.0295
-14.8629,-39.6579,-14.964,-39.8115
-15.1366,-39.7283,-14.964,-39.8115
-14.964,-39.8115,-14.964,-39.8115
-15.4342,-39.3287,-15.4342,-39.3287
-11.0063,-44.5255,-11.0063,-44.5255
-12.7579,-39.4248,-12.7697,-39.5215
-12.7697,-39.5215,-12.7697,-39.5215
-12.5317,-39.1902,-12.6104,-38.9727
-12.5994,-38.9587,-12.6104,-38.9727
-12.5078,-38.9978,-12.6104,-38.9727
-12.6675,-39.1008,-12.6104,-38.9727
-12.5994,-39.0412,-12.6104,-38.9727
-12.776,-38.9175,-12.6104,-38.9727
-12.6329,-38.9921,-12.6104,-38.9727
-12.6104,-38.9727,-12.6104,-38.9727
-13.3859,-44.2011,-13.4019,-44.1837
-13.4019,-44.1837,-13.4019,-44.1837
-12.5123,-38.4905,-12.5123,-38.4905
-12.7836,-39.1715,-12.7208,-39.1824
-12.8394,-39.0893,-12.7208,-39.1824
-12.7208,-39.1824,-12.7208,-39.1824
-11.5929,-38.5938,-11.5929,-38.5938
-12.5472,-38.7137,-12.7387,-38.7625
-12.7387,-38.7625,-12.7387,-38.7625
-11.0677,-40.432,-10.9428,-40.4155
-11.0208,-40.2956,-10.9428,-40.4155
-10.7433,-40.3675,-10.9428,-40.4155
-10.9428,-40.4155,-10.9428,-40.4155
-12.4169,-41.7722,-12.4169,-41.7722
-14.571,-42.9434,-14.571,-42.9434
-13.5659,-43.5929,-13.5659,-43.5929
-9.74138,-41.8786,-9.74138,-41.8786
-13.0801,-43.4689,-13.0801,-43.4689
-9.45024,-40.8145,-9.45024,-40.8145
-12.2429,-41.6155,-12.088,-41.6427
-11.9648,-41.6374,-12.088,-41.6427
-12.088,-41.6427,-12.088,-41.6427
-12.759,-43.9504,-12.7026,-44.0075
-12.7026,-44.0075,-12.7026,-44.0075
-14.0197,-41.2473,-14.0197,-41.2473
-13.7249,-39.1481,-13.5321,-39.1009
-13.604,-39.1091,-13.5321,-39.1009
-13.5321,-39.1009,-13.5321,-39.1009
-13.3669,-39.073,-13.5321,-39.1009
-11.8475,-40.7927,-11.8475,-40.7927
-17.522559,-39.741341,-17.522559,-39.741341
-12.295,-38.6347,-12.295,-38.6347
-12.3888,-38.6238,-12.295,-38.6347
-11.3253,-38.9584,-11.4827,-38.9913
-11.5272,-39.0776,-11.4827,-38.9913
